deck0	deck1	winner	life0	life1	turn	start_epoch
146	162	0	9	-1	12	1787786553
125	162	1	0	18	18	1787786515
126	130	1	-4	20	15	1787786531
152	162	1	0	21	13	1787786527
126	162	1	0	21	12	1787786545
125	130	1	0	20	25	1787786549
152	123	0	20	-4	12	1787786517
162	130	0	20	0	17	1787786539
152	126	0	66	-6	16	1787786529
123	130	1	0	19	17	1787786525
125	126	0	43	-14	53	1787786519
146	130	0	1	-4	18	1787786523
146	152	1	-1	15	21	1787786541
152	125	1	0	27	39	1787786551
146	125	0	9	-1	38	1787786533
152	130	1	-7	17	33	1787786547
146	126	1	-1	12	20	1787786535
146	123	1	-775	12	13	1787786543
125	123	0	44	0	32	1787786521
126	123	1	-4722	19	11	1787786555
162	123	adj0	20	10	10	1787786537
