deck0	deck1	winner	life0	life1	turn	start_epoch
126	130	1	-1	19	13	1788320106
162	123	1	-18	17	11	1788320104
146	123	0	21	-2	10	1788320074
152	162	1	0	5	15	1788320098
152	123	0	37	-10	12	1788320078
146	130	0	17	-1	13	1788320100
146	126	0	22	-4	16	1788320082
125	162	1	0	18	19	1788320080
152	130	1	-5	17	15	1788320070
126	162	1	0	11	14	1788320086
146	162	1	-3	4	19	1788320076
125	123	0	46	0	32	1788320110
123	130	1	-2	20	17	1788320092
162	130	0	20	0	15	1788320072
126	123	1	-108	5	25	1788320088
152	126	1	0	19	23	1788320102
125	130	0	25	-5	69	1788320108
125	126	0	25	0	38	1788320094
146	152	0	4	-11	26	1788320084
152	125	1	0	28	53	1788320096
146	125	1	-10	53	51	1788320090
