VALIDATE-FAIL	Hero of the Games	571445	auto	@targeted(this) from(*[instant;sorcery;aura]|mycastingzone):1/0 all(creature|mybattlefield) ueot oneshot
VALIDATE-FAIL	Skeletonize	442138	auto	@movedto(mytgt|graveyard) from(battlefield):token(skeleton token)
VALIDATE-FAIL	River Serpent	426768	auto	aslongas(type(*|mygraveyard)~lessthan~5) cantattack
VALIDATE-FAIL	River Serpent	426768	auto	aslongas(type(*|mygraveyard)~lessthan~5) cantpwattack
VALIDATE-FAIL	Rhonas's Stalwart	547681	auto	@exerted(this):cantbeblockedby(power<=2) ueot
VALIDATE-FAIL	Skeletonize	175070	auto	@movedto(mytgt|graveyard) from(battlefield):token(skeleton token)
VALIDATE-FAIL	War's Toll	446155	auto	@combat(attacking) source(creature|opponentbattlefield):mustattack all(creature|opponentbattlefield) ueot
VALIDATE-FAIL	Kitnap	668967	auto	teach(creature) giftcard
VALIDATE-FAIL	Kitnap	668864	auto	teach(creature) giftcard
VALIDATE-FAIL	Urza's Workshop	586470	auto	foreach(|mybattlefield)
VALIDATE-FAIL	Urza's Workshop	588506	auto	foreach(|mybattlefield)
VALIDATE-FAIL	Heavenly Blademaster	450604	auto	thisforeach(aura) lord(other creature|mybattlefield) 1/1
VALIDATE-FAIL	Saheeli, the Gifted	450645	auto	{c(0/0,-7,loyalty)}:name(-7: create a token for each artifact) clone all(artifact|mybattlefield) with(unearth)
VALIDATE-FAIL	Rayami, First of the Fallen	470594	auto	aslongas(creature[protection from artifact;counter{0/0.1.blood}]|exile) protection from artifact
VALIDATE-FAIL	Vraska the Unseen	470753	auto	{c(0/0,-7,loyalty)}:name(-7: create three 1/1 assassin) token(assassin token)*3
VALIDATE-FAIL	Metallurgic Summonings	519157	auto	{3}{u}{u}{e}:moveto(hand) all(*[instant;sorcery]|mygraveyard) restriction{type(artifact|mybattlefield)~morethan~5}
VALIDATE-FAIL	Beckoning Will-o'-Wisp	562893	auto	@each my combatbegins:name(lure the unwary) target(opponent)
VALIDATE-FAIL	Triskelavus	446962	auto	{1}{c(1/1,-1)}:token(triskelavite token)
VALIDATE-FAIL	Triskelavus	247519	auto	{1}{c(1/1,-1)}:token(triskelavite token)
VALIDATE-FAIL	Heavenly Blademaster	622636	auto	thisforeach(aura) lord(other creature|mybattlefield) 1/1
VALIDATE-FAIL	Heavenly Blademaster	626316	auto	thisforeach(aura) lord(other creature|mybattlefield) 1/1
VALIDATE-FAIL	Rime Transfusion	121257	auto	teach(creature) {i}:cantbeblockedby(creature[-snow]) ueot
VALIDATE-FAIL	Unstoppable Plan	690509	auto	lord(creature|mybattlefield)
VALIDATE-FAIL	Unstoppable Plan	689863	auto	lord(creature|mybattlefield)
VALIDATE-FAIL	Unstoppable Plan	689953	auto	lord(creature|mybattlefield)
VALIDATE-FAIL	War's Toll	107492	auto	@combat(attacking) source(creature|opponentbattlefield):mustattack all(creature|opponentbattlefield) ueot
VALIDATE-FAIL	Meria, Scholar of Antiquity	574686	auto	{t(artifact[-token]|mybattlefield)}{t(artifact[-token]|mybattlefield)}:name(exile top card) moveto(exile) and!( transforms((,canplayfromexile)) ueot )! all(*[zpos=1]|mylibrary) restriction{type(artifact[-token]|mybattlefield)~morethan~1}
VALIDATE-FAIL	Meria, Scholar of Antiquity	578058	auto	{t(artifact[-token]|mybattlefield)}{t(artifact[-token]|mybattlefield)}:name(exile top card) moveto(exile) and!( transforms((,canplayfromexile)) ueot )! all(*[zpos=1]|mylibrary) restriction{type(artifact[-token]|mybattlefield)~morethan~1}
VALIDATE-FAIL	Meria, Scholar of Antiquity	577851	auto	{t(artifact[-token]|mybattlefield)}{t(artifact[-token]|mybattlefield)}:name(exile top card) moveto(exile) and!( transforms((,canplayfromexile)) ueot )! all(*[zpos=1]|mylibrary) restriction{type(artifact[-token]|mybattlefield)~morethan~1}
VALIDATE-FAIL	Shanna, Sisay's Legacy	443092	auto	cantbetargetof(artifact,creature,enchantment[-auras],land,planeswalker|opponentbattlefield,opponentgraveyard)
VALIDATE-FAIL	Rampaging Ferocidon	676040	auto	@movedto(creature|mybattlefield) damage:1 controller
VALIDATE-FAIL	Rampaging Ferocidon	676040	auto	@movedto(creature|opponentbattlefield) damage:1 opponent
VALIDATE-FAIL	Diversion Specialist	673537	auto	{1}{s(other *[creature;enchantment]|mybattlefield)}:_impulsedraw_
VALIDATE-FAIL	Risen Executioner	394666	autograveyard	{2}{b}{b}:if type(creature|mygraveyard)~equalto~0 name(cast from graveyard) moveto(mybattlefield)
VALIDATE-FAIL	Risen Executioner	394666	autograveyard	{2}{b}{b}:if type(creature|mygraveyard)~equalto~1 pay({1}) name(cast from graveyard) moveto(mybattlefield)
