deck0	deck1	winner	life0	life1	turn	start_epoch
123	130	1	-4	20	13	1787761215
146	123	0	21	-11	10	1787761183
125	162	1	0	18	18	1787761213
152	126	1	0	34	13	1787761193
146	162	0	16	-3	12	1787761191
126	162	1	0	20	12	1787761203
146	152	0	22	-3	12	1787761195
146	130	0	20	-1	16	1787761199
152	130	0	20	-2	10	1787761185
152	123	0	28	-9	14	1787761201
152	162	1	0	19	12	1787761177
125	123	0	32	0	30	1787761187
126	130	0	28	0	22	1787761209
125	126	0	39	0	38	1787761207
162	123	1	-21	19	13	1787761197
126	123	0	15	0	15	1787761181
146	125	1	0	36	47	1787761189
152	125	1	-10	26	52	1787761217
162	130	0	9	0	23	1787761205
125	130	0	35	0	50	1787761179
146	126	1	0	28	26	1787761211
