deck0	deck1	winner	life0	life1	turn	start_epoch
162	130	0	15	-1	10	1788439442
146	125	0	20	-1	12	1788439458
162	123	0	20	0	13	1788439460
152	126	1	-2	24	13	1788439470
146	126	0	22	-14	12	1788439436
146	123	1	-2	12	9	1788439452
152	130	0	25	-5	22	1788439440
146	152	1	-5	29	17	1788439434
152	162	1	0	6	16	1788439474
146	162	0	12	-1	20	1788439444
125	130	1	-2	19	15	1788439456
126	123	0	41	-1	12	1788439446
126	130	1	0	20	21	1788439448
146	130	1	0	14	29	1788439468
126	162	1	-6	20	15	1788439462
123	130	1	-3	20	35	1788439454
125	162	1	0	20	27	1788439464
125	123	0	32	0	38	1788439466
125	126	0	44	0	40	1788439472
152	123	0	20	-2	34	1788439438
152	125	1	-11	18	64	1788439450
