deck0	deck1	winner	life0	life1	turn	start_epoch
152	162	0	10	-5	12	1787864175
125	162	1	-5	19	14	1787864179
162	123	1	-69	11	11	1787864151
125	126	1	0	40	13	1787864145
152	130	1	-1	8	17	1787864155
152	125	0	24	-3	20	1787864163
126	162	1	0	18	16	1787864173
126	123	1	-30	22	13	1787864185
152	123	0	35	-2	16	1787864147
162	130	1	0	8	15	1787864171
146	162	0	4	-2	14	1787864153
152	126	1	0	51	17	1787864167
146	130	1	-1	7	37	1787864161
146	126	1	0	60	21	1787864183
125	130	1	0	18	35	1787864149
146	123	0	22	0	16	1787864159
146	152	0	19	-3	18	1787864181
123	130	1	-2	20	23	1787864165
126	130	0	24	0	27	1787864157
125	123	0	49	-9	60	1787864177
146	125	1	-14	45	79	1787864169
