deck0	deck1	winner	life0	life1	turn	start_epoch
152	162	0	18	0	8	1788425050
152	130	0	29	-3	10	1788425062
152	123	0	29	0	8	1788425060
126	162	0	38	0	14	1788425046
146	125	0	22	-6	18	1788425044
162	123	1	-32	13	11	1788425058
125	162	1	0	22	18	1788425040
146	130	0	14	-2	32	1788425056
146	123	1	-3	12	9	1788425054
162	130	0	12	0	10	1788425042
152	125	0	29	-11	18	1788425038
146	162	0	4	-1	28	1788425070
125	130	1	-5	20	19	1788425052
152	126	0	20	-10	14	1788425068
125	126	1	0	41	27	1788425048
146	152	0	7	-11	20	1788425074
126	130	0	44	0	17	1788425066
123	130	1	0	20	23	1788425064
146	126	0	5	-5	32	1788425072
126	123	0	44	0	18	1788425076
125	123	0	49	0	63	1788425036
