deck0	deck1	winner	life0	life1	turn	start_epoch
146	123	1	-2	22	9	1788475540
126	162	0	38	-3	12	1788475522
152	162	1	0	21	10	1788475510
152	126	0	27	-1	10	1788475544
146	162	1	0	20	19	1788475512
146	125	0	22	-1	18	1788475532
162	123	0	14	0	18	1788475546
146	130	1	-2	20	18	1788475506
152	125	0	19	-3	20	1788475530
152	130	0	22	-20	26	1788475524
126	123	1	-39	17	15	1788475516
146	126	0	22	-1	19	1788475518
125	123	0	30	0	52	1788475508
146	152	1	-3	5	23	1788475534
162	130	1	-2	16	31	1788475514
123	130	1	-2	18	27	1788475538
125	130	0	36	0	58	1788475526
125	162	0	30	8	29	1788475520
152	123	1	-81	6	23	1788475536
125	126	1	-8	80	76	1788475542
126	130	0	38	0	15	1788475528
