deck0	deck1	winner	life0	life1	turn	start_epoch
125	162	1	0	19	13	1787849910
152	162	0	34	-15	10	1787849892
125	130	1	0	20	15	1787849894
126	162	1	0	21	16	1787849908
162	123	0	21	0	13	1787849884
146	162	1	0	9	14	1787849900
162	130	0	20	0	11	1787849898
152	123	0	25	-10	12	1787849880
146	130	1	-4	13	17	1787849912
152	130	0	27	0	16	1787849902
152	126	0	32	-7	14	1787849886
146	152	0	21	-3	20	1787849904
126	123	1	-208	20	17	1787849918
146	125	1	-12	21	41	1787849896
125	126	1	0	52	34	1787849906
123	130	0	11	-34	18	1787849890
152	125	0	22	-5	26	1787849888
146	123	1	-5	3	25	1787849916
126	130	0	50	0	20	1787849920
125	123	0	49	0	54	1787849914
146	126	1	0	35	25	1787849882
