deck0	deck1	winner	life0	life1	turn	start_epoch
146	162	0	15	-2	10	1787571286
146	125	0	19	-1	16	1787571302
152	162	0	16	0	12	1787571310
126	130	0	37	-2	11	1787571294
126	162	1	-9	20	11	1787571288
152	123	1	-7	4	9	1787571312
152	126	0	20	-4	16	1787571308
152	125	0	29	-19	18	1787571298
152	130	0	37	0	16	1787571280
162	123	0	1	0	13	1787571274
162	130	0	20	-6	12	1787571300
146	123	1	-6	13	13	1787571304
146	130	1	-3	5	31	1787571282
146	152	0	12	-5	20	1787571284
125	162	1	-7	15	21	1787571290
126	123	0	33	0	20	1787571276
123	130	1	-1	20	19	1787571314
146	126	0	19	-15	24	1787571306
125	123	0	102	-4	51	1787571292
125	126	1	-13	86	34	1787571278
125	130	0	35	19	75	1787571296
