deck0	deck1	winner	life0	life1	turn	start_epoch
146	152	0	21	0	10	1788334430
146	162	0	17	-1	10	1788334458
126	162	1	0	21	15	1788334452
152	162	0	11	0	10	1788334446
152	130	0	11	-4	14	1788334444
146	130	1	0	2	17	1788334442
152	123	1	-25	16	11	1788334450
162	123	0	24	0	15	1788334438
126	123	1	-63	20	11	1788334440
152	126	1	0	21	15	1788334426
125	162	1	0	20	20	1788334462
146	126	0	16	-10	16	1788334436
126	130	0	21	-2	28	1788334454
162	130	0	1	0	23	1788334456
123	130	1	-4	5	17	1788334432
125	130	0	13	-14	49	1788334448
125	123	0	30	0	34	1788334428
146	123	0	23	0	32	1788334460
125	126	0	19	0	54	1788334422
146	125	1	14	39	84	1788334424
152	125	adj0	20	9	15	1788334434
