deck0	deck1	winner	life0	life1	turn	start_epoch
152	125	0	18	-23	18	1787841678
146	126	0	21	-5	14	1787841692
152	123	0	31	-3	12	1787841680
146	123	0	20	-2	11	1787841686
152	162	0	17	-8	12	1787841694
162	123	0	22	0	12	1787841706
126	162	1	0	21	13	1787841682
125	162	1	0	20	23	1787841666
152	130	0	22	-2	10	1787841688
146	162	1	0	6	12	1787841702
123	130	0	16	-7	14	1787841670
162	130	0	19	-1	14	1787841704
152	126	1	-1	36	15	1787841690
146	130	0	21	0	14	1787841696
125	126	1	-12	75	60	1787841698
146	152	0	5	-4	24	1787841674
126	123	0	69	0	24	1787841700
126	130	0	30	0	34	1787841668
125	130	0	17	0	54	1787841684
125	123	0	62	0	50	1787841676
146	125	1	-9	25	36	1787841672
