deck0	deck1	winner	life0	life1	turn	start_epoch
146	130	0	19	-7	10	1787543883
126	123	0	44	-2	12	1787543889
152	130	0	16	-5	12	1787543873
146	123	0	23	-2	12	1787543881
162	123	0	22	0	12	1787543893
162	130	0	17	0	12	1787543897
126	162	0	30	-4	12	1787543895
152	123	0	24	0	13	1787543901
152	162	0	14	-1	12	1787543899
146	162	0	15	-2	14	1787543871
146	126	0	20	-2	16	1787543875
123	130	0	14	-36	12	1787543867
125	162	1	-8	18	25	1787543865
146	152	1	-7	8	25	1787543879
152	126	0	10	-3	20	1787543863
152	125	1	-6	32	50	1787543877
146	125	1	0	25	35	1787543887
126	130	0	49	0	30	1787543861
125	126	0	40	-13	41	1787543885
125	123	0	49	0	40	1787543869
125	130	0	4	0	66	1787543891
