deck0	deck1	winner	life0	life1	turn	start_epoch
146	126	0	22	-8	10	1787777950
162	123	0	20	0	13	1787777961
126	162	0	31	0	11	1787777930
162	130	0	21	0	11	1787777938
152	162	0	9	0	10	1787777946
146	123	1	-9	5	11	1787777940
152	123	1	-13	11	11	1787777963
125	162	1	0	17	18	1787777954
146	130	1	-4	9	15	1787777948
146	152	0	17	0	18	1787777928
152	130	0	20	-2	12	1787777944
146	162	0	13	-2	16	1787777952
126	130	0	28	0	22	1787777926
123	130	0	19	-31	14	1787777922
125	126	1	0	45	27	1787777934
125	130	1	-1	19	37	1787777924
125	123	0	44	0	44	1787777942
126	123	0	42	0	20	1787777932
146	125	1	0	17	41	1787777936
152	126	1	-1	8	18	1787777956
152	125	1	0	85	64	1787777958
