deck0	deck1	winner	life0	life1	turn	start_epoch
152	130	0	19	0	10	1788455420
126	162	1	0	19	18	1788455424
146	162	1	0	6	12	1788455404
152	123	0	20	-8	12	1788455400
162	123	0	20	0	13	1788455412
152	125	0	20	-1	14	1788455410
146	130	1	-3	8	21	1788455418
152	162	0	10	-4	14	1788455414
146	123	0	21	-2	10	1788455398
146	152	1	-2	18	19	1788455406
123	130	1	-3	19	33	1788455402
125	162	1	0	6	24	1788455416
152	126	1	0	45	21	1788455422
125	123	0	30	0	32	1788455392
162	130	0	21	-6	10	1788455430
126	123	1	-38	15	21	1788455396
146	126	0	10	-10	26	1788455428
146	125	0	12	-10	28	1788455394
125	130	0	32	0	60	1788455426
126	130	0	22	0	26	1788455408
125	126	1	-8	32	54	1788455432
