deck0	deck1	winner	life0	life1	turn	start_epoch
146	130	0	9	0	14	1787768339
126	162	1	0	20	10	1787768341
146	152	0	21	-2	10	1787768333
125	130	1	-5	19	17	1787768331
152	130	1	-1	17	15	1787768319
162	130	0	18	-7	12	1787768325
125	162	1	0	18	24	1787768317
146	123	1	-41	16	13	1787768343
152	126	1	0	26	13	1787768335
123	130	0	19	-23	14	1787768327
146	126	0	21	0	14	1787768313
152	162	0	20	-11	12	1787768323
126	123	0	42	0	25	1787768329
152	125	0	29	-22	32	1787768347
125	126	1	0	38	29	1787768315
125	123	0	31	-12	43	1787768351
162	123	0	4	0	15	1787768337
146	162	1	0	11	16	1787768321
126	130	1	-3	13	17	1787768345
152	123	1	0	13	21	1787768349
146	125	1	-14	25	54	1787768353
