deck0	deck1	winner	life0	life1	turn	start_epoch
146	162	0	19	-2	10	1787833221
126	162	1	0	20	12	1787833235
146	152	1	-5	29	13	1787833233
152	126	1	0	32	15	1787833231
152	162	1	0	3	14	1787833239
125	162	1	0	16	29	1787833225
162	130	0	19	0	11	1787833211
152	125	0	23	0	18	1787833206
152	123	0	25	-2	14	1787833204
125	123	0	43	-1	33	1787833223
125	126	1	0	49	25	1787833219
162	123	0	15	0	15	1787833237
146	130	1	-2	16	25	1787833217
152	130	0	27	-2	14	1787833243
123	130	1	-1	24	17	1787833215
146	123	0	21	0	24	1787833245
126	123	1	-226	9	11	1787833241
126	130	0	37	0	18	1787833229
125	130	0	39	0	54	1787833213
146	126	1	-2	30	20	1787833227
146	125	1	-12	42	36	1787833208
